Date,Title,Sentiment
2010-01-04,Global Stocks and Commodities Rally on First Trading Day of 2010,positive
2010-01-04,Dollar Slumps Amid Worldwide Manufacturing Improvement,negative
2010-01-04,Oil Prices Surge Above $81 a Barrel Due to U.S. Cold Weather,negative
2010-01-04,"S&P 500 Sees 1.6 Percent Increase, Hits 15-Month High",positive
2010-01-04,"Argentina's Merval Index Reaches Record High, Brazil's Bovespa Surpasses 70,000",positive
2010-01-04,Natural Gas and Crude Oil Prices Jump Amid U.S. Cold Snap,negative
2010-01-04,"Gold and Copper Prices Rise, with Copper Hitting 16-Month High",indecisive
2010-01-04,U.S. Manufacturing Index Reaches Highest Level in Over Three Years,positive
2010-01-04, Exxon Mobil Corp. and Chevron Corp. Lead Gains in U.S. Energy Shares,positive
2010-01-04, Intel Corp. Shares Rally After Upgrade by Robert W. Baird & Co.,positive
2010-01-04," Dollar Weakens Against Major Currencies, Affecting Gold Prices",negative
2010-01-04, Europe's Dow Jones Stoxx 600 Index Gains 1.5 Percent,positive
2010-01-04, Nestle SA Shares Up After Novartis AG Acquires Stake in Alcon Inc.,positive
2010-01-04," MSCI Asia Pacific Index Climbs, Japan Airlines Corp. Soars 31 Percent",positive
2010-01-04," U.S. Treasury Two-Year Notes Rise, Yields Fall",negative
2010-01-04, PIMCO Reduces Holdings of U.S. and U.K. Government Debt,negative
2010-01-04," MSCI Emerging Markets Index Continues Rally, Predicted to Rise Further",positive
2010-01-05,Dollar Declines Against Yen Following U.S. Housing Report,negative
2010-01-05,U.S. Treasuries Gain as Pending Home Resales Drop,negative
2010-01-05,Oil Prices Approach $82 Amid Cold Weather,negative
2010-01-05,Orange Juice Prices Surge Due to U.S. Freeze,negative
2010-01-05,"Dow Jones Dips Slightly, S&P 500 Sees Gains",indecisive
2010-01-05,U.S. Home Resale Contracts Fall 16% in November,negative
2010-01-05,Analysts Question Sustainability of Post-Stimulus GDP Growth,negative
2010-01-05,"MSCI World Index Up, Emerging Markets Index Hits New High",positive
2010-01-05,Energy Stock Indexes Rise in Resource-Rich Countries,positive
2010-01-05, Cadbury Shares Fall After Berkshire Hathaway Votes Against Kraft Share Issue,negative
2010-01-05, Yen Strengthens Against Major Currencies Amid Exporter Activity,negative
2010-01-05, Dollar Index Shows Minor Gains After Fluctuations,indecisive
2010-01-05, Crude Oil Nears 14-Month High as Cold Weather Boosts Demand,positive
2010-01-05, Refined Sugar Prices Reach Highest Since 1989 on Crop Concerns,negative
