Date,Title,Sentiment
2009-01-01,"town asks kung fu monks for tourism blessings bribes corrode afghans’ trust in government cuba marks revolution’s anniversary attacks occur as iraq takes control of key sites talking pictures – iraq 2003-2008 heart of u.s. occupation reverts to iraqi control helen suzman, relentless challenger of apartheid system, is dead at 91 taliban kill 20 afghan police russia cuts off gas deliveries to ukraine in a broadening offensive, israel steps up diplomacy",negative
2009-01-02,"future f1 champions seventh day of gaza attacks ethiopian army begins leaving mogadishu pakistan briefly reopens key nato supply route dark humor: the troop debate suicide attack kills 24 at iraqi tribal gathering sri lanka says troops captured rebel center escalation feared as israel, continuing bombing, lets foreigners leave gaza podcast: green zone reverts to iraqi control u.s. prosecutors' emphasis on immigration crimes saps morale",negative
2009-01-03,"russian furor over u.s. adoptions follows american’s acquittal in boy’s death opposition leader is declared the winner of ghana’s presidential election independent, tajiks revel in their faith insurgents in somalia take over police posts american troops wound woman in baghdad text: statement from israel’s defense minister is the real target hamas rule? israeli troops launch attack on gaza gas dispute has effects past russia and ukraine australia says no on detainees, and britain is reluctant",negative
2009-01-04,"ahead of election, iran’s hard-liners crack down israeli attack splits gaza; truce calls are rebuffed bomber at iraqi shrine kills 40, including 16 iranian pilgrims with senate set to return, uncertainty over obama's seat chechen exile gunned down in vienna embargo - quietly, chávez opens the door to western oil firms a piece of a disappearing past: singapore's last rural village israeli ground invasion cuts gaza in two popular 'satellite sheik' draws youth to a modern islam eu seeks a gaza cease-fire - and a bigger mideast role",negative
2009-01-05,"china criticizes google and others on pornography death tolls declining, but even ‘good’ days are deadly iraq briefing: new year’s resolutions arrests increased in chinese region new u.s. embassy dedicated in baghdad as bombs explode elsewhere israel moves deeper into gaza gunmen in greece attack policemen israel deepens gaza incursion as toll mounts an emotional obama flies to a new home in washington bush approves airlift of equipment to help darfur effort",positive
2009-01-06,"analysis of the gaza conflict rice heads to u.n. for talks on gaza cease-fire japan seeks australia’s help to thwart whaling opponents gutierrez and tambay now teammates casualties near a school in gaza israel puts media clamp on gaza russia cuts gas, and europe shivers dossier gives details of mumbai attacks israeli shells kill 40 at gaza u.n. school un building in gaza is hit by strike from israel",negative
2009-01-07,"grief and rage at stricken gaza school assault in gaza, day 12 government reshuffle in greece in wake of riots ukraine says russia cuts gas supplies israel resumes attack after pause for aid delivery obama seeks to mend a party rift over his cia choice hundreds of coal ash dumps in the u.s. lack regulation feeling safer, candidates campaign publicly in iraq 'demoralizing' setback in   fight to save   tasmanian devil richard seaver, ground-breaking publisher, dies at 82",negative
2009-01-08,"9 in senegal to be jailed for 8 years rocket fire from lebanon unsettles israel, but fears of a hezbollah attack subside fighter sees his paradise in gaza’s pain israel condemns vatican’s ‘concentration camp’ remarks 10 are killed in 3 bomb attacks on iraqi soldiers police in china halt parents seeking investigation into school collapses mosley pressures the teams deal struck to end gas cutoff gaza children found with mothers’ corpses u.n. and red cross add to outcry on gaza war",negative
2009-01-09,"egyptians seethe over gaza, and their leaders feel heat 30 confirmed dead in shelling of gaza family conflict in gaza, day 14 pirates say they freed saudi tanker for $3 million afghan bombs kill 14; 5 from u.s. deal to end russia’s cutoff of gas remains uncertain call for cease-fire goes unheeded poll suggest big turnout for iraq vote israel hopes to complete gaza troop withdrawal by tuesday deal reported to end gas cutoff",negative
2009-01-10,"dispute weakens iraqi sunni coalition governing party, facing challenge, moves left in south africa turk raises eyebrows in criticism of israel a fatal accident and german politics fierce focus on tunnels, a lifeline for gazans reporter's notebook: the tunnels of gaza in mexico, curbing violence before it is learned biden arrives in afghanistan to discuss the war a gaza war full of traps and trickery ukraine and russia sign deal over gas",negative
